modelo,versao_modelo,data_geracao,modo_resultado,epi_year_origem,epi_week_origem,semana_origem,target_epi_year,target_epi_week,semana_alvo,horizonte_semanas,bairro_norm,populacao,casos_observados_recentes_4s,incidencia_recente_4s_100k,categoria_recente_observada,categoria_prevista,confianca_modelo,prob_baixo,prob_medio,prob_alto,prob_critico,casos_observados_alvo_4s,incidencia_observada_alvo_4s_100k,categoria_observada_alvo,previsao_correta,status_avaliacao,data_avaliacao
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,BRASILIA TEIMOSA,16685,0,0.0,Baixo,Baixo,0.9998772932051052,0.9998772932051052,0.0001064501732495,1.3049111130174434e-05,3.207510514928111e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,BREJO DA GUABIRABA,10620,0,0.0,Baixo,Baixo,0.9997778978987776,0.9997778978987776,0.0002019777983738,1.613788734919073e-05,3.986415499363404e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,BREJO DE BEBERIBE,7738,1,12.923235978288965,Baixo,Baixo,0.9998585543324472,0.9998585543324472,0.0001270566060981,1.1265068397492148e-05,3.1239930572631424e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,CABANGA,1831,0,0.0,Baixo,Baixo,0.999134555581312,0.999134555581312,0.0007272037003743,0.0001049929659066,3.3247752406955684e-05,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,CACOTE,8738,1,11.444266422522317,Baixo,Baixo,0.999851117157218,0.999851117157218,0.0001321504982017,1.31969574238031e-05,3.535387156413564e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,CAJUEIRO,5062,1,19.755037534571315,Baixo,Baixo,0.9993416752457134,0.9993416752457134,0.0005706223358776,7.096151299931268e-05,1.6740905409671064e-05,1.0,19.755037534571315,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,CAMPINA DO BARRETO,8757,0,0.0,Baixo,Baixo,0.9997469323250616,0.9997469323250616,0.0002245747934003,2.1041180786136973e-05,7.451700751845453e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,CAMPO GRANDE,31783,1,3.146336091621307,Baixo,Baixo,0.9999415263353192,0.9999415263353192,5.113663361652003e-05,5.649186606095567e-06,1.6878444583399284e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,CASA AMARELA,32450,1,3.081664098613251,Baixo,Baixo,0.9998742956915976,0.9998742956915976,0.0001127788269751,1.015258175040348e-05,2.7728996769863286e-06,1.0,3.081664098613251,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,CASA FORTE,6307,0,0.0,Baixo,Baixo,0.9997100433071432,0.9997100433071432,0.0002430288198594,3.838997585298326e-05,8.537897144290679e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,CAXANGA,13813,0,0.0,Baixo,Baixo,0.9998743463588418,0.9998743463588418,0.0001071183207109,1.4889581402320364e-05,3.645739044929003e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,CIDADE UNIVERSITARIA,1819,0,0.0,Baixo,Baixo,0.9990880537017948,0.9990880537017948,0.000740191146072,0.0001475815813812,2.417357075211344e-05,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,COELHOS,5923,0,0.0,Baixo,Baixo,0.9994629350429022,0.9994629350429022,0.0004567322760778,6.630028871789848e-05,1.4032392302086031e-05,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,COHAB,62632,5,7.983139609145485,Baixo,Baixo,0.999866905695723,0.999866905695723,0.0001200485714863,1.09538530091484e-05,2.091879781535642e-06,3.0,4.789883765487291,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,COQUEIRAL,9427,0,0.0,Baixo,Baixo,0.9998023944758684,0.9998023944758684,0.0001684641292852,2.343712329488209e-05,5.704271551471488e-06,1.0,10.607828577490189,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,CORDEIRO,37660,0,0.0,Baixo,Baixo,0.9998990296308068,0.9998990296308068,8.744476507699222e-05,1.051279832502867e-05,3.012805791209374e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,CORREGO DO JENIPAPO,8086,0,0.0,Baixo,Baixo,0.9997089366351654,0.9997089366351654,0.0002563030539805,2.859355805718412e-05,6.166752796917173e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,CURADO,16559,0,0.0,Baixo,Baixo,0.9998927018204165,0.9998927018204165,9.173412309748868e-05,1.2394398132687078e-05,3.169658353523488e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,DERBY,1867,0,0.0,Baixo,Baixo,0.9993327668471598,0.9993327668471598,0.0005613449259061,8.619980132954794e-05,1.968842560454309e-05,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,DOIS IRMAOS,3026,0,0.0,Baixo,Baixo,0.9995105638817752,0.9995105638817752,0.0003866050536372,8.782858967287477e-05,1.5002474914887304e-05,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,DOIS UNIDOS,31437,0,0.0,Baixo,Baixo,0.9998846632194436,0.9998846632194436,9.856538078201848e-05,1.3638957049857506e-05,3.132442724686961e-06,1.0,3.1809651048128,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,ENCRUZILHADA,15249,0,0.0,Baixo,Baixo,0.9998782312364224,0.9998782312364224,0.0001036149253132,1.4842881710508385e-05,3.31095655369601e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,ENGENHO DO MEIO,9849,0,0.0,Baixo,Baixo,0.9998285646400636,0.9998285646400636,0.000145899188292,2.0461620552800395e-05,5.074551091450551e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,ESPINHEIRO,10741,1,9.310120100549298,Baixo,Baixo,0.9998180837924252,0.9998180837924252,0.0001560366265823,2.1275337111722183e-05,4.604243880624751e-06,1.0,9.310120100549298,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
XGBoost,criticidade_v2,2026-09-13T13:31:13-03:00,validacao_historica_2021,2020,53,2020-53,2021,1,2021-01,1,ESTANCIA,7408,0,0.0,Baixo,Baixo,0.999759203756237,0.999759203756237,0.0002039893480206,2.845842603946684e-05,8.348469703029276e-06,0.0,0.0,Baixo,True,Consolidado,2026-09-13T13:31:13-03:00
