modelo,horizonte_semanas,janela_incidencia_semanas,n_amostras_teste,acuracia,acuracia_balanceada,f1_macro,f2_macro,f1_ponderado,pr_auc_macro,log_loss,erro_absoluto_nivel_medio,acuracia_ate_um_nivel,kappa_quadratico,subestimacao_grave_taxa,arvores_selecionadas,potencia_peso_classes,validacao_oof_f2_macro,validacao_oof_acuracia_balanceada,epocas_selecionadas,tipo
LSTM,3,4,4888,0.9171440261865794,0.5512122606102169,0.5831242456642882,0.561567385922667,0.9163983708162236,0.582150278696274,0.3095845770864417,0.0879705400981996,0.9952945990180032,0.6969529436449442,0.003887070376432,,0.5,0.6335621458395384,0.6344703824247596,12.0,modelo
XGBoost,3,4,4888,0.8858428805237316,0.5806217232645121,0.581190026978706,0.5745131805004497,0.8958733507023178,0.5910678664612035,0.2766175280109171,0.1178396072013093,0.9963175122749592,0.6642729795422913,0.0032733224222585,494.0,0.75,0.6225864404755506,0.6299880725511288,,modelo
RNA,3,4,4888,0.9079378068739772,0.4972252374275317,0.5013659821973382,0.4985399529315746,0.9059802553588502,0.4835824400378272,0.2804885365403465,0.1004500818330605,0.992635024549918,0.653592581589244,0.003887070376432,,0.5,0.6192417526442899,0.6239595220599143,10.0,modelo
Referencia: persistencia,3,4,4888,0.8891162029459901,0.4973344045603106,0.4973344045603106,0.4973344045603106,0.8891162029459901,0.3569621287327643,1.5319189362594503,0.1207037643207856,0.9918166939443536,0.5967428003972195,0.0045008183306055,,,,,,referencia
Referencia: sempre Baixo,3,4,4888,0.8747954173486089,0.25,0.2333042339589698,0.2430429246998908,0.8163738988613382,0.25,1.729767857915994,0.1462765957446808,0.9844517184942716,0.0,0.0155482815057283,,,,,,referencia
XGBoost,4,4,4888,0.8600654664484452,0.4601597269692216,0.4457348988628231,0.4481368057185214,0.8715435723064114,0.4401110013581763,0.3520994202420636,0.1479132569558101,0.9922258592471358,0.5461667498391665,0.0057283142389525,493.0,0.75,0.5008122552996834,0.504942839184067,,modelo
LSTM,4,4,4888,0.8970949263502455,0.4174119791958036,0.4387889970348605,0.4237313449942352,0.8919271759283571,0.4430636491405453,0.3766332984372645,0.1119067103109656,0.9920212765957448,0.5611959094165925,0.0069558101472995,,0.5,0.5291328197596475,0.5423964378313478,9.0,modelo
RNA,4,4,4888,0.8891162029459901,0.3997314933750331,0.3791511175750923,0.3906319995647847,0.8886197400127671,0.4373604942981421,0.353752266411668,0.1184533551554828,0.9928396072013094,0.5589218375042853,0.0069558101472995,,0.5,0.5091736765543788,0.5045024393130945,5.0,modelo
Referencia: persistencia,4,4,4888,0.8657937806873978,0.4057252356176434,0.4058007590580563,0.4057554212105378,0.8657434947997752,0.3074957913043995,1.854130037242964,0.1511865793780687,0.98588379705401,0.4638291628711691,0.0077741407528641,,,,,,referencia
Referencia: sempre Baixo,4,4,4888,0.8747954173486089,0.25,0.2333042339589698,0.2430429246998908,0.8163738988613382,0.25,1.729767857915994,0.1462765957446808,0.9844517184942716,0.0,0.0155482815057283,,,,,,referencia
